"Indicator","PUBLISH STATES","Year","WHO region","Country","Display Value","Numeric","Low","High","Comments"
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Singapore","77 [64-90]","77.00000","64.00000","90.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Slovakia","650","650.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Solomon Islands","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","South Sudan","13 [10-18]","13.00000","10.00000","18.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Sudan","51 000 [27 000-84 000]","51000.00000","27000.00000","84000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Sweden","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Syrian Arab Republic","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Timor-Leste","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Tonga","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Tunisia","3000 [2300-4200]","3000.00000","2300.00000","4200.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Uganda","970 000","970000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","United Arab Emirates","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","United States of America","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Vanuatu","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Yemen","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Zimbabwe","1 120 000","1120000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Albania","42 [40-44]","42.00000","40.00000","44.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Angola","310 000 [260 000-360 000]","310000.00000","260000.00000","360000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Armenia","45 [37-55]","45.00000","37.00000","55.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Austria","6400","6400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Bangladesh","19 [16-22]","19.00000","16.00000","22.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Belarus","11 200","11200.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Belize","4500 [4000-58 000]","4500.00000","4000.00000","58000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Bosnia and Herzegovina","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Brazil","860 000 [630 000-1 100 000]","860000.00000","630000.00000","1100000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Burkina Faso","65 [49-82]","65.00000","49.00000","82.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Cambodia","67 000 [58 000-79 000]","67000.00000","58000.00000","79000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Central African Republic","32 [27-38]","32.00000","27.00000","38.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Chile","39 000","39000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Congo","29 [25-33]","29.00000","25.00000","33.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Costa Rica","6700","6700.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Croatia","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Democratic People's Republic of Korea","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Denmark","6400 [5900-6900]","6400.00000","5900.00000","6900.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Dominican Republic","52 [41-66]","52.00000","41.00000","66.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","El Salvador","25 000 [22 000-27 000]","25000.00000","22000.00000","27000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Estonia","72 [64-80]","72.00000","64.00000","80.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Fiji","290","290.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Finland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Gambia","32 [26-38]","32.00000","26.00000","38.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Germany","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Greece","14 000 [13 000-16 000]","14000.00000","13000.00000","16000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Guatemala","39 [34-44]","39.00000","34.00000","44.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Guinea-Bissau","12 000","12000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Haiti","150 000 [130 000-180 000]","150000.00000","130000.00000","180000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","India","1 201 000","1201000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Iran (Islamic Republic of)","60 000 [31 000-110 000]","60000.00000","31000.00000","110000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Israel","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Japan","28 000 [24 000-32 000]","28000.00000","24000.00000","32000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Kenya","75 [63-89]","75.00000","63.00000","89.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Kuwait","350","350.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Lebanon","61 [54-69]","61.00000","54.00000","69.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Liberia","11 600","11600.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Lithuania","2800 [2500-3000]","2800.00000","2500.00000","3000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Malaysia","39 000","39000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Mali","130 000 [110 000-160 000]","130000.00000","110000.00000","160000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Mauritania","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Micronesia (Federated States of)","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Montenegro","59 [50-68]","59.00000","50.00000","68.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Mozambique","1 156 000","1156000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Nepal","49 [43-58]","49.00000","43.00000","58.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","New Zealand","2900","2900.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Niger","36 000 [31 000-41 000]","36000.00000","31000.00000","41000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Oman","1300","1300.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Palau","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Paraguay","39 [25-85]","39.00000","25.00000","85.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Poland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Republic of Korea","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Romania","12 400","12400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Saint Lucia","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Samoa","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Sao Tome and Principe","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Seychelles","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Singapore","7600 [6300-8900]","7600.00000","6300.00000","8900.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Solomon Islands","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","South Sudan","180 000 [130 000-250 000]","180000.00000","130000.00000","250000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Sudan","15 [8-25]","15.00000","8.00000","25.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Eswatini","174 000","174000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Tajikistan","33 [25-47]","33.00000","25.00000","47.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","The former Yugoslav republic of Macedonia","200","200.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Togo","110 000 [70 000-150 000]","110000.00000","70000.00000","150000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Turkey","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Tuvalu","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","United Arab Emirates","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","United States of America","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Vanuatu","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Viet Nam","125 000","125000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Afghanistan","790","790.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Afghanistan","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Antigua and Barbuda","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Antigua and Barbuda","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Argentina","80 200","80200.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Bahamas","57 [49-64]","57.00000","49.00000","64.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Bahamas","3000","3000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Belize","31 [28->95]","31.00000","28.00000","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Belize","1400","1400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Botswana","84 [77-91]","84.00000","77.00000","91.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Brazil","64 [47-82]","64.00000","47.00000","82.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Burundi","78 000 [63 000-93 000]","78000.00000","63000.00000","93000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Cabo Verde","75 [63-90]","75.00000","63.00000","90.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Chad","110 000 [94 000-140 000]","110000.00000","94000.00000","140000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Chile","59 [51-67]","59.00000","51.00000","67.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Congo","100 000 [85 000-110 000]","100000.00000","85000.00000","110000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Cook Islands","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Cyprus","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Cyprus","890 [820-970]","890.00000","820.00000","970.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Dominica","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Dominica","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Equatorial Guinea","20 600","20600.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Eritrea","8800","8800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","France","81 [69-94]","81.00000","69.00000","94.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","France","162 000","162000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Greece","67 [59-75]","67.00000","59.00000","75.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Greece","9600","9600.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Guyana","64 [59-72]","64.00000","59.00000","72.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Haiti","64 [54-78]","64.00000","54.00000","78.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","South-East Asia","India","2 100 000 [1 500 000-3 000 000]","2100000.00000","1500000.00000","3000000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Indonesia","14 [12-17]","14.00000","12.00000","17.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Italy","130 000 [110 000-150 000]","130000.00000","110000.00000","150000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Jamaica","34 [29-40]","34.00000","29.00000","40.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Kenya","1 500 000 [1 300 000-1 800 000]","1500000.00000","1300000.00000","1800000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Kiribati","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Lebanon","1300","1300.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Lebanon","2200 [1900-2500]","2200.00000","1900.00000","2500.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Madagascar","2300","2300.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Madagascar","35 000 [29 000-45 000]","35000.00000","29000.00000","45000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Malta","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Marshall Islands","3000","3000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Monaco","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Monaco","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Namibia","84 [79-91]","84.00000","79.00000","91.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Namibia","168 000","168000.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Nicaragua","48 [38-63]","48.00000","38.00000","63.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Niger","52 [45-59]","52.00000","45.00000","59.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Niger","18 400","18400.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Oman","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Pakistan","8 [7-9]","8.00000","7.00000","9.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Peru","72 000 [58 000-100 000]","72000.00000","58000.00000","100000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Philippines","36 [33-40]","36.00000","33.00000","40.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Republic of Moldova","15 000 [10 000-21 000]","15000.00000","10000.00000","21000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Romania","76 [71-88]","76.00000","71.00000","88.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Saint Lucia","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Saint Lucia","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Senegal","23 200","23200.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Senegal","43 000 [36 000-51 000]","43000.00000","36000.00000","51000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Slovenia","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Slovenia","970 [710-1300]","970.00000","710.00000","1300.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Spain","82 [73-91]","82.00000","73.00000","91.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Spain","125 000","125000.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","South-East Asia","Sri Lanka","1300","1300.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Switzerland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Switzerland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Togo","57 [37-80]","57.00000","37.00000","80.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Togo","59 700","59700.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Turkmenistan","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Tuvalu","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","United Kingdom of Great Britain and Northern Ireland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","United Republic of Tanzania","66 [58-73]","66.00000","58.00000","73.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Venezuela (Bolivarian Republic of)","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Viet Nam","50 [44-57]","50.00000","44.00000","57.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Afghanistan","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Antigua and Barbuda","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Argentina","66 [60-73]","66.00000","60.00000","73.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Azerbaijan","8000 [6100-10 000]","8000.00000","6100.00000","10000.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Bahamas","5300 [4600-6000]","5300.00000","4600.00000","6000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Belgium","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Belgium","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Botswana","318 000","318000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Botswana","380 000 [340 000-410 000]","380000.00000","340000.00000","410000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Burundi","60 100","60100.00000","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Cabo Verde","1800","1800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Chad","45 [37-54]","45.00000","37.00000","54.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Chad","51 800","51800.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Cook Islands","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Cook Islands","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Cyprus","65 [60-71]","65.00000","60.00000","71.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Czechia","74 [63-85]","74.00000","63.00000","85.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Czechia","2100","2100.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Eastern Mediterranean","Djibouti","9100 [6300-13 000]","9100.00000","6300.00000","13000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","Dominica","No data","","","",""
